"cleaned_hm","predicted_category","age","country","gender","marital"
"I went to the gym this morning and did yoga.","exercise","30","USA","f","married"
"I completed my 5 miles run without break. It makes me feel strong.","exercise","28","USA","f","married"
"Going for some running and exercising after three days break.","exercise","26","IND","m","single"
"After taking some off at the gym(due to illness) I was able to wake up early and complete my normal squat workout at the same weight I had done prior to my break. ","exercise","33","USA","m","single"
"I went to sports club and did running and exercise that's why I feel very fresh and happy.","exercise","29","IND","m","married"
"Its the little things, when I went to the gym today to do squats and other leg lifts, the power-cage was open all afternoon.","exercise","30","USA","f","married"
"I run run run and run, finally i catch a bus disappearing form my eyes. Its make me feel nice.","exercise","37","IND","m","married"
"i have run for 6 miles and the feeling is great.","exercise","25","USA","m","single"
"I went for a long run on a trail near my house.","exercise","38","USA","f","married"
"I went to my local gym to lift weight and do cardio. The shower afterwards was refreshing.","exercise","38","USA","m","single"
"I finally went for a run and worked out and it felt great to be taking care of my body.","exercise","30.0","USA","m","single"
"I went to the gym","exercise","66","USA","m","married"
"I completed a fitness goal this morning that I had set for myself a while ago; run a full mile before going to work.","exercise","32.0","USA","m","married"
"I had a really tough workout in the morning, and I managed to complete it while running incredibly quickly!","exercise","20.0","USA","f","single"
"I went for a 2 hour run that made me feel great. I can feel myself getting in better shape and that makes me feel good.","exercise","28.0","USA","m","single"
"I went to the gym today and was about to run for 30 minutes straight. ","exercise","29","USA","m","single"
"Going to the gym during my lunch break made me happy","exercise","27","USA","f","single"
"I was able to run for 5 miles. This is the most I have ever done.","exercise","41","USA","m","married"
"I got to go to yoga and relax for an hour ","exercise","34.0","USA","f","married"
"I went for a jog.","exercise","28","USA","m","single"
"I went to the gym and was able to bench press 315 lbs.","exercise","25.0","USA","m","single"
"I ran this morning for 4 miles, usually I only go for 2 miles, but I pushed myself today to see how far I could go. ","exercise","50.0","USA","m","divorced"
"I went to the gym and really enjoyed how awesome my workout was afterwards. ","exercise","30","USA","o","single"
"I went to the gym and felt proud of myself after.","exercise","26","USA","m","single"
"I worked out at the gym and got a lot done during it. ","exercise","32","USA","f","married"
"I went outside to see if it was warm enough for a bike ride..  it was so i went for a three mile ride. never rode that far in one session and i was happy i did.  good excercise.","exercise","43.0","USA","f","married"
"I had a great workout at the gym.","exercise","25","USA","m","single"
"I went to the gym and exercised on the elliptical and lifted weights after work.","exercise","31.0","USA","m","single"
"I ran a mile under 6 minutes today and it made me feel fast.","exercise","31","USA","m","married"
"A girl that I have a crush on showed up to the gym while I was working out this morning.","exercise","22.0","USA","m","single"
"I went to the gym and ran for 20 minutes.","exercise","28.0","USA","m","divorced"
"I had a great workout at the gym yesterday.","exercise","24","USA","m","single"
"I did yoga yesterday which relaxed me and allowed me to stretch my body. This helped me feel more positive throughout the day.

","exercise","33.0","USA","m","married"
"I went to the gym. Hitting a new personal record on the bench press made me more confident in my abilities.  ","exercise","21","USA","m","single"
"I went to the gym to lift weights.","exercise","26","USA","f","single"
"I finished my workout this morning and felt energized.
","exercise","26","USA","f","single"
"I went for a run and broke my personal best for a 5k time.","exercise","24","USA","m","single"
"I was happy when I got to go to back to the gym.","exercise","28","USA","m","single"
"I went to the gym and had a good workout.","exercise","29","USA","m","single"
"I had a great workout this morning.","exercise","36.0","USA","f","married"
"When I was able to have a good workout with my past teammates.","exercise","22","USA","m","single"
"Staying at home after going to the gym and being alone","exercise","27","USA","f","single"
"I went to the gym in the morning. ","exercise","34.0","USA","f","married"
"I had a great workout on a treadmill this morning at the gym.","exercise","52","USA","m","married"
"I went for a run with my dog in the morning. Felt pretty energized for work after it","exercise","33","PRT","m","married"
"My boyfriend brought my gym clothes to me so that I could go the the gym right after work. ","exercise","32.0","USA","f","single"
"I went to the gym and completed a two hour long workout.","exercise","21.0","USA","f","single"
"I had a good session at the gym. I was energetic afterwards.","exercise","36","USA","m","single"
"I exercised on my exercise bike.","exercise","31.0","USA","m","single"
"I went to the gym for the first time in 6 months.","exercise","28","USA","m","single"
"I ran quite a long distance with good weather.","exercise","19","ITA","m","single"
"I woke up early this morning on time to do yoga and actually did it.","exercise","37.0","USA","f","single"
"I met my goal of going to the gym twice this week.","exercise","30.0","USA","m","married"
"Going for a run at the gym.","exercise","29","USA","m","married"
"I completed a goal that I set for myself at the gym and it pumped me up for tomorrow. ","exercise","31","USA","m","married"
"It felt good to hit the gym and then come home and notice that I'd been making results.","exercise","18.0","USA","m","single"
"I was able to go to the gym.","exercise","26.0","USA","m","single"
"Walking outside exercising","exercise","25","USA","m","single"
"I went to the gym and rowed.","exercise","20.0","USA","f","single"
